GEOHASH,latitude,longitude,mean_daily_vehicle_count,mean_speed_kmh,peak_hour_vehicle_count,total_vehicle_count
sx7fr5,41.1959838867188,28.0865478515625,327.32,83.31,53,6219
sx7fr6,41.1904907226563,28.0975341796875,1110.68,88.13,138,21103
sx7fr8,41.1795043945313,28.1085205078125,572.53,88.76,83,10878
sx7fr9,41.1849975585938,28.1085205078125,1351.84,89.83,196,25685
sx7frb,41.1795043945313,28.1195068359375,454.58,90.2,72,8637
sx7frd,41.1904907226563,28.1085205078125,46.47,87.17,10,883
sx7fty,41.2564086914063,28.0316162109375,411.47,72.65,75,7818
sx7ftz,41.2619018554688,28.0316162109375,386.53,70.33,66,7344
sx7fv7,41.2838745117188,28.0096435546875,683.0,39.06,107,12977
sx7fvb,41.2673950195313,28.0316162109375,582.84,64.86,98,11074
sx7fvc,41.2728881835938,28.0316162109375,587.95,72.59,104,11171
sx7fvd,41.2783813476563,28.0206298828125,543.74,71.19,91,10331
sx7fve,41.2838745117188,28.0206298828125,413.11,58.7,67,7849
sx7fvf,41.2783813476563,28.0316162109375,61.05,71.28,19,1160
sx7fvk,41.2893676757813,28.0096435546875,362.21,67.33,59,6882
sx7fvm,41.2948608398438,28.0096435546875,387.95,76.39,71,7371
sx7fvp,41.3058471679688,27.9986572265625,601.37,71.19,95,11426
sx7fvq,41.3003540039063,28.0096435546875,277.11,69.9,47,5265
sx7fvr,41.3058471679688,28.0096435546875,637.32,38.03,106,12109
sx7fw3,41.2289428710938,28.0535888671875,395.11,84.92,72,7507
sx7fw4,41.2344360351563,28.0426025390625,35.26,90.58,9,670
sx7fw5,41.2399291992188,28.0426025390625,414.21,87.62,69,7870
sx7fw6,41.2344360351563,28.0535888671875,398.42,88.35,63,7570
sx7fw8,41.2234497070313,28.0645751953125,548.95,74.2,91,10430
sx7fw9,41.2289428710938,28.0645751953125,379.05,76.99,66,7202
sx7fwh,41.2454223632813,28.0426025390625,400.26,85.48,69,7605
sx7fwj,41.2509155273438,28.0426025390625,551.79,78.34,114,10484
sx7fwn,41.2564086914063,28.0426025390625,173.11,74.48,33,3289
sx7ghb,41.3113403320313,27.9876708984375,991.79,46.04,158,18844
sx7ghc,41.3168334960938,27.9876708984375,1014.05,64.27,138,19267
sx7ghd,41.3223266601563,27.9766845703125,788.16,47.71,118,14975
sx7ghe,41.3278198242188,27.9766845703125,478.11,20.94,67,9084
sx7ghf,41.3223266601563,27.9876708984375,389.16,60.69,75,7394
sx7ghk,41.3333129882813,27.9656982421875,326.16,53.2,49,6197
sx7ghm,41.3388061523438,27.9656982421875,348.16,69.15,64,6615
sx7ghq,41.3442993164063,27.9656982421875,169.0,75.22,32,3211
sx7ghs,41.3333129882813,27.9766845703125,16.16,15.3,4,307
sx7gj0,41.3113403320313,27.9986572265625,333.16,73.72,61,6330
sxhzvq,40.7730102539063,29.4158935546875,221.37,60.71,32,4206
sxhzvr,40.7785034179688,29.4158935546875,682.37,60.81,78,12965
sxhzvt,40.7675170898438,29.4268798828125,624.32,33.17,68,11862
sxhzvw,40.7730102539063,29.4268798828125,733.32,47.92,87,13933
sxk18j,41.0751342773438,28.1304931640625,416.21,79.52,70,7908
sxk18m,41.0751342773438,28.1414794921875,465.74,82.97,63,8849
sxk18n,41.0806274414063,28.1304931640625,541.32,90.91,79,10285
sxk18p,41.0861206054688,28.1304931640625,255.37,92.21,39,4852
sxk18r,41.0861206054688,28.1414794921875,431.26,89.79,70,8194
sxk18t,41.0751342773438,28.1524658203125,681.53,85.73,88,12949
sxk18v,41.0751342773438,28.1634521484375,822.58,70.09,116,15629
sxk19j,41.0751342773438,28.1744384765625,731.89,80.86,92,13906
sxk19m,41.0751342773438,28.1854248046875,315.84,83.5,42,6001
sxk19q,41.0806274414063,28.1854248046875,714.42,83.61,92,13574
sxk19w,41.0806274414063,28.1964111328125,810.11,77.52,98,15392
sxk19y,41.0806274414063,28.2073974609375,990.63,71.01,134,18822
sxk1b2,41.0916137695313,28.1414794921875,542.05,89.18,79,10299
sxk1b8,41.0916137695313,28.1524658203125,45.89,88.73,10,872
sxk1b9,41.0971069335938,28.1524658203125,602.26,88.83,85,11443
sxk1bd,41.1026000976563,28.1524658203125,621.74,88.82,90,11813
sxk1bf,41.1026000976563,28.1634521484375,22.11,86.34,6,420
sxk1bg,41.1080932617188,28.1634521484375,726.0,76.6,99,13794
sxk1bu,41.1135864257813,28.1634521484375,451.74,52.56,65,8583
sxk1bx,41.1300659179688,28.1524658203125,877.95,88.49,130,16681
sxk1by,41.1245727539063,28.1634521484375,655.84,93.78,112,12461
sxk1bz,41.1300659179688,28.1634521484375,965.37,92.51,144,18342
sxk1ch,41.1135864257813,28.1744384765625,454.74,81.26,73,8640
sxk1cj,41.1190795898438,28.1744384765625,769.0,92.76,131,14611
sxk1cm,41.1190795898438,28.1854248046875,983.47,89.49,152,18686
sxk1cn,41.1245727539063,28.1744384765625,321.21,94.45,54,6103
sxk1cq,41.1245727539063,28.1854248046875,129.95,91.13,23,2469
sxk1ct,41.1190795898438,28.1964111328125,553.68,92.18,94,10520
sxk1cv,41.1190795898438,28.2073974609375,946.0,89.43,151,17974
sxk1cw,41.1245727539063,28.1964111328125,466.16,88.9,66,8857
sxk1cy,41.1245727539063,28.2073974609375,731.37,69.69,103,13896
sxk1cz,41.1300659179688,28.2073974609375,66.16,59.81,19,1257
sxk1dn,41.0806274414063,28.2183837890625,1193.11,73.07,153,22669
sxk1dq,41.0806274414063,28.2293701171875,1210.05,77.38,153,22991
sxk1dt,41.0751342773438,28.2403564453125,827.21,46.88,104,15717
sxk1dv,41.0751342773438,28.2513427734375,845.79,36.32,107,16070
sxk1dw,41.0806274414063,28.2403564453125,1937.11,48.13,241,36805
sxk1dx,41.0861206054688,28.2403564453125,449.79,51.45,67,8546
sxk1dz,41.0861206054688,28.2513427734375,384.21,43.65,55,7300
sxk1ej,41.0751342773438,28.2623291015625,1026.05,61.51,141,19495
sxk1ek,41.0696411132813,28.2733154296875,1287.95,68.95,182,24471
sxk1em,41.0751342773438,28.2733154296875,609.0,67.49,75,11571
sxk1es,41.0696411132813,28.2843017578125,1384.26,76.21,190,26301
sxk1eu,41.0696411132813,28.2952880859375,1412.26,73.9,193,26833
sxk1fb,41.0916137695313,28.2513427734375,567.79,49.87,92,10788
sxk1fc,41.0971069335938,28.2513427734375,333.84,70.41,52,6343
sxk1ff,41.1026000976563,28.2513427734375,122.84,66.1,24,2334
sxk1fj,41.1190795898438,28.2183837890625,493.05,86.32,80,9368
sxk1fn,41.1245727539063,28.2183837890625,9.16,63.41,3,174
sxk1fp,41.1300659179688,28.2183837890625,932.68,78.95,122,17721
sxk1fq,41.1245727539063,28.2293701171875,1022.47,88.48,159,19427
sxk1fr,41.1300659179688,28.2293701171875,755.42,86.16,101,14353
sxk1ft,41.1190795898438,28.2403564453125,266.42,92.31,44,5062
sxk1fu,41.1135864257813,28.2513427734375,179.11,83.36,32,3403
sxk1fv,41.1190795898438,28.2513427734375,1386.21,89.39,205,26338
sxk1fw,41.1245727539063,28.2403564453125,1164.84,91.51,181,22132
sxk1g4,41.1026000976563,28.2623291015625,283.79,60.03,47,5392
sxk1g5,41.1080932617188,28.2623291015625,304.21,64.89,57,5780
sxk1g7,41.1080932617188,28.2733154296875,1053.26,91.22,162,20012
sxk1ge,41.1080932617188,28.2843017578125,918.74,88.88,146,17456
sxk1gg,41.1080932617188,28.2952880859375,937.47,85.6,144,17812
sxk1gh,41.1135864257813,28.2623291015625,909.84,83.65,164,17287
sxk1gx,41.1300659179688,28.2843017578125,140.16,75.27,28,2663
sxk1qx,41.0421752929688,28.4161376953125,1239.26,60.12,197,23546
sxk1qy,41.0366821289063,28.4271240234375,582.0,64.38,102,11058
sxk1qz,41.0421752929688,28.4271240234375,1087.0,72.58,184,20653
sxk1rg,41.0202026367188,28.4710693359375,925.05,71.82,143,17576
sxk1rm,41.0311889648438,28.4490966796875,991.89,66.96,139,18846
sxk1rn,41.0366821289063,28.4381103515625,1379.95,56.0,216,26219
sxk1rq,41.0366821289063,28.4490966796875,930.42,71.89,147,17678
sxk1rs,41.0256958007813,28.4600830078125,1004.63,67.59,170,19088
sxk1rt,41.0311889648438,28.4600830078125,1424.68,62.66,228,27069
sxk1ru,41.0256958007813,28.4710693359375,1165.16,74.18,184,22138
sxk1rw,41.0366821289063,28.4600830078125,250.53,69.67,57,4760
sxk1rx,41.0421752929688,28.4600830078125,8.39,75.63,4,151
sxk1ry,41.0366821289063,28.4710693359375,1.44,53.38,1,13
sxk1rz,41.0421752929688,28.4710693359375,244.0,67.18,48,4636
sxk1s5,41.0641479492188,28.3062744140625,816.63,84.98,111,15516
sxk1s7,41.0641479492188,28.3172607421875,1138.79,75.37,162,21637
sxk1se,41.0641479492188,28.3282470703125,1137.58,78.28,170,21614
sxk1sf,41.0586547851563,28.3392333984375,345.79,82.35,46,6570
sxk1sg,41.0641479492188,28.3392333984375,1022.21,81.04,149,19422
sxk1sh,41.0696411132813,28.3062744140625,876.58,85.24,115,16655
sxk1t4,41.0586547851563,28.3502197265625,1154.32,77.67,167,21932
sxk1t6,41.0586547851563,28.3612060546875,765.16,74.5,103,14538
sxk1t9,41.0531616210938,28.3721923828125,1135.58,47.58,185,21576
sxk1tc,41.0531616210938,28.3831787109375,1136.0,68.19,186,21584
sxk1td,41.0586547851563,28.3721923828125,1046.53,55.92,173,19884
sxk1te,41.0641479492188,28.3721923828125,228.89,51.93,42,4349
sxk1tg,41.0641479492188,28.3831787109375,365.74,73.9,65,6949
sxk1tr,41.0861206054688,28.3612060546875,587.79,89.42,83,11168
sxk1tt,41.0751342773438,28.3721923828125,953.0,87.63,141,18107
sxk1tu,41.0696411132813,28.3831787109375,1089.32,84.83,169,20697
sxk1tv,41.0751342773438,28.3831787109375,167.74,88.44,30,3187
sxk1tw,41.0806274414063,28.3721923828125,920.58,87.55,149,17491
sxk1tx,41.0861206054688,28.3721923828125,600.74,89.5,98,11414
sxk1u4,41.1026000976563,28.3062744140625,758.74,86.5,121,14416
sxk1u5,41.1080932617188,28.3062744140625,333.47,84.14,56,6336
sxk1u6,41.1026000976563,28.3172607421875,947.32,88.66,148,17999
sxk1uc,41.0971069335938,28.3392333984375,803.58,88.08,123,15268
sxk1ud,41.1026000976563,28.3282470703125,889.84,87.73,141,16907
sxk1uf,41.1026000976563,28.3392333984375,71.68,84.84,15,1362
sxk1v1,41.0971069335938,28.3502197265625,1256.0,86.26,192,23864
sxk1v2,41.0916137695313,28.3612060546875,1159.21,91.47,177,22025
sxk1v3,41.0971069335938,28.3612060546875,393.95,91.16,70,7485
sxk1w0,41.0476684570313,28.3941650390625,1031.47,78.95,165,19598
sxk1w1,41.0531616210938,28.3941650390625,301.84,75.78,52,5735
sxk1w2,41.0476684570313,28.4051513671875,1064.21,77.15,167,20220
sxk1w5,41.0641479492188,28.3941650390625,610.84,90.6,100,11606
sxk1w6,41.0586547851563,28.4051513671875,307.68,86.68,54,5846
sxk1w7,41.0641479492188,28.4051513671875,1447.74,91.4,219,27507
sxk1wc,41.0531616210938,28.4271240234375,889.37,90.96,132,16898
sxk1wd,41.0586547851563,28.4161376953125,1698.0,86.12,244,32262
sxk1wf,41.0586547851563,28.4271240234375,729.11,89.1,110,13853
sxk1wh,41.0696411132813,28.3941650390625,779.16,89.0,114,14804
sxk1x1,41.0531616210938,28.4381103515625,1462.16,90.25,229,27781
sxk1x3,41.0531616210938,28.4490966796875,1815.84,87.22,273,34501
sxk1x9,41.0531616210938,28.4600830078125,549.47,88.89,85,10440
sxk1xb,41.0476684570313,28.4710693359375,202.16,56.64,39,3841
sxk1xc,41.0531616210938,28.4710693359375,172.95,79.34,42,3286
sxk1xd,41.0586547851563,28.4600830078125,1320.53,89.61,217,25090
sxk1xf,41.0586547851563,28.4710693359375,1119.79,90.84,172,21276
sxk1zz,41.1300659179688,28.4710693359375,684.47,41.98,100,13005
sxk323,41.0092163085938,28.4930419921875,383.79,78.47,62,7292
sxk324,41.0147094726563,28.4820556640625,622.47,73.39,108,11827
sxk325,41.0202026367188,28.4820556640625,1288.16,75.63,202,24475
sxk326,41.0147094726563,28.4930419921875,1288.05,76.2,207,24473
sxk329,41.0092163085938,28.5040283203125,1278.68,81.67,202,24295
sxk32c,41.0092163085938,28.5150146484375,1473.05,74.04,225,27988
sxk331,41.0092163085938,28.5260009765625,1554.32,72.01,232,29532
sxk333,41.0092163085938,28.5369873046875,1240.95,62.41,182,23578
sxk336,41.0147094726563,28.5369873046875,1642.37,65.37,255,31205
sxk33d,41.0147094726563,28.5479736328125,2209.05,64.22,325,41972
sxk33f,41.0147094726563,28.5589599609375,2781.53,50.0,437,52849
sxk33g,41.0202026367188,28.5589599609375,3032.32,47.88,445,57614
sxk33t,41.0311889648438,28.5479736328125,271.16,68.59,40,5152
sxk33u,41.0256958007813,28.5589599609375,1512.89,54.18,205,28745
sxk33v,41.0311889648438,28.5589599609375,951.58,58.08,138,18080
sxk33w,41.0366821289063,28.5479736328125,1085.47,55.74,160,20624
sxk33x,41.0421752929688,28.5479736328125,879.79,75.45,134,16716
sxk35q,40.9927368164063,28.6248779296875,193.89,29.1,40,3684
sxk35r,40.9982299804688,28.6248779296875,843.95,33.66,134,16035
sxk365,41.0202026367188,28.5699462890625,3421.63,65.17,488,65011
sxk367,41.0202026367188,28.5809326171875,3258.53,61.24,463,61912
sxk36k,41.0256958007813,28.5809326171875,1071.0,68.42,168,20349
sxk36s,41.0256958007813,28.5919189453125,3132.26,61.99,450,59513
sxk36u,41.0256958007813,28.6029052734375,2948.68,57.18,461,56025
sxk372,41.0037231445313,28.6248779296875,978.32,28.63,139,18588
sxk373,41.0092163085938,28.6248779296875,1192.74,31.44,156,22662
sxk376,41.0147094726563,28.6248779296875,1805.11,34.74,233,34297
sxk377,41.0202026367188,28.6248779296875,6151.89,42.63,839,116886
sxk37c,41.0092163085938,28.6468505859375,839.63,59.27,135,15953
sxk37d,41.0147094726563,28.6358642578125,3837.11,53.46,511,72905
sxk37e,41.0202026367188,28.6358642578125,4425.79,49.5,601,84090
sxk37f,41.0147094726563,28.6468505859375,5288.79,50.76,743,100487
sxk37h,41.0256958007813,28.6138916015625,2952.53,54.23,415,56098
sxk37k,41.0256958007813,28.6248779296875,4476.58,53.96,714,85055
sxk37m,41.0311889648438,28.6248779296875,1967.05,54.32,317,37374
sxk37q,41.0366821289063,28.6248779296875,2126.21,44.19,295,40398
sxk37r,41.0421752929688,28.6248779296875,2393.89,43.13,349,45484
sxk384,41.0586547851563,28.4820556640625,805.63,92.64,127,15307
sxk386,41.0586547851563,28.4930419921875,1171.63,92.47,173,22261
sxk387,41.0641479492188,28.4930419921875,364.32,93.01,69,6922
sxk38e,41.0641479492188,28.5040283203125,1419.42,91.25,219,26969
sxk38s,41.0696411132813,28.5040283203125,1197.42,89.75,177,22751
sxk38t,41.0751342773438,28.5040283203125,1547.21,90.72,247,29397
sxk38w,41.0806274414063,28.5040283203125,957.53,92.7,168,18193
sxk38x,41.0861206054688,28.5040283203125,1746.32,85.9,269,33180
sxk38y,41.0806274414063,28.5150146484375,925.95,78.15,135,17593
sxk38z,41.0861206054688,28.5150146484375,1772.21,56.15,263,33672
sxk392,41.0476684570313,28.5369873046875,21.26,79.62,6,404
sxk393,41.0531616210938,28.5369873046875,995.89,83.1,154,18922
sxk395,41.0641479492188,28.5260009765625,589.21,81.32,96,11195
sxk396,41.0586547851563,28.5369873046875,1124.26,65.36,164,21361
sxk397,41.0641479492188,28.5369873046875,744.16,75.68,115,14139
sxk398,41.0476684570313,28.5479736328125,806.84,80.26,124,15330
sxk399,41.0531616210938,28.5479736328125,14.89,75.8,6,268
sxk39h,41.0696411132813,28.5260009765625,972.53,85.39,158,18478
sxk39j,41.0751342773438,28.5260009765625,981.21,82.9,150,18643
sxk39n,41.0806274414063,28.5260009765625,171.05,80.94,30,3250
sxk3b8,41.0916137695313,28.5040283203125,1124.42,71.35,180,21364
sxk3b9,41.0971069335938,28.5040283203125,1.75,62.1,2,21
sxk3bb,41.0916137695313,28.5150146484375,2861.53,77.75,381,54369
sxk3bc,41.0971069335938,28.5150146484375,3218.21,85.06,437,61146
sxk3bd,41.1026000976563,28.5040283203125,1212.79,85.79,188,23043
sxk3be,41.1080932617188,28.5040283203125,1290.53,77.67,207,24520
sxk3bf,41.1026000976563,28.5150146484375,516.32,90.15,88,9810
sxk3bk,41.1135864257813,28.4930419921875,154.89,75.48,30,2943
sxk3bm,41.1190795898438,28.4930419921875,558.63,66.33,87,10614
sxk3bn,41.1245727539063,28.4820556640625,536.68,63.12,88,10197
sxk3bp,41.1300659179688,28.4820556640625,253.21,58.76,41,4811
sxk3bq,41.1245727539063,28.4930419921875,720.11,80.93,112,13682
sxk3br,41.1300659179688,28.4930419921875,600.16,93.5,96,11403
sxk3bs,41.1135864257813,28.5040283203125,1221.58,78.48,180,23210
sxk3bt,41.1190795898438,28.5040283203125,566.05,89.61,106,10755
sxk3bw,41.1245727539063,28.5040283203125,457.11,90.15,74,8685
sxk3c4,41.1026000976563,28.5260009765625,1765.79,90.56,259,33550
sxk3c6,41.1026000976563,28.5369873046875,328.47,91.36,57,6241
sxk3c7,41.1080932617188,28.5369873046875,1617.37,90.27,240,30730
sxk3ce,41.1080932617188,28.5479736328125,1432.58,91.17,205,27219
sxk3cg,41.1080932617188,28.5589599609375,1210.37,93.25,195,22997
sxk3e2,41.0476684570313,28.6248779296875,1951.74,43.77,285,37083
sxk3e3,41.0531616210938,28.6248779296875,2093.95,46.82,314,39785
sxk3e6,41.0586547851563,28.6248779296875,2438.79,42.61,380,46337
sxk3e7,41.0641479492188,28.6248779296875,2024.42,49.53,285,38464
sxk3eg,41.0641479492188,28.6468505859375,2346.53,51.25,348,44584
sxk3ek,41.0696411132813,28.6248779296875,2099.84,47.63,289,39897
sxk3em,41.0751342773438,28.6248779296875,2256.79,42.06,312,42879
sxk3eq,41.0806274414063,28.6248779296875,2377.21,53.68,343,45167
sxk3er,41.0861206054688,28.6248779296875,3271.95,39.71,562,62167
sxk3eu,41.0696411132813,28.6468505859375,1693.68,92.92,264,32180
sxk3ev,41.0751342773438,28.6468505859375,1933.79,90.63,302,36742
sxk3ew,41.0806274414063,28.6358642578125,407.32,85.41,76,7739
sxk3ex,41.0861206054688,28.6358642578125,2980.05,52.82,485,56621
sxk3ey,41.0806274414063,28.6468505859375,606.63,88.04,117,11526
sxk3ez,41.0861206054688,28.6468505859375,1288.74,44.75,229,24486
sxk3f5,41.1080932617188,28.5699462890625,1659.79,89.59,241,31536
sxk3f6,41.1026000976563,28.5809326171875,185.21,85.82,31,3519
sxk3f7,41.1080932617188,28.5809326171875,1184.74,87.04,182,22510
sxk3fd,41.1026000976563,28.5919189453125,1236.32,91.56,171,23490
sxk3ff,41.1026000976563,28.6029052734375,1115.58,87.72,160,21196
sxk3g1,41.0971069335938,28.6138916015625,855.58,78.31,141,16256
sxk3g2,41.0916137695313,28.6248779296875,629.42,87.87,93,11959
sxk3g3,41.0971069335938,28.6248779296875,763.32,84.86,109,14503
sxk3g4,41.1026000976563,28.6138916015625,894.63,81.23,152,16998
sxk3g8,41.0916137695313,28.6358642578125,2895.47,50.19,469,55014
sxk3g9,41.0971069335938,28.6358642578125,1850.42,48.21,403,35158
sxk3gb,41.0916137695313,28.6468505859375,1197.74,47.45,250,22757
sxk3gc,41.0971069335938,28.6468505859375,743.53,43.56,202,14127
sxk3gd,41.1026000976563,28.6358642578125,2359.79,44.39,367,44836
sxk3ge,41.1080932617188,28.6358642578125,1639.68,63.84,237,31154
sxk3gk,41.1135864257813,28.6248779296875,672.58,57.72,140,12779
sxk3gm,41.1190795898438,28.6248779296875,2310.84,47.18,406,43906
sxk3gq,41.1245727539063,28.6248779296875,1873.58,55.79,295,35598
sxk3gr,41.1300659179688,28.6248779296875,1485.95,69.88,229,28233
sxk3gs,41.1135864257813,28.6358642578125,1599.58,65.68,288,30392
sxk3hd,40.9707641601563,28.6798095703125,526.58,36.29,110,10005
sxk3he,40.9762573242188,28.6798095703125,1434.79,28.2,301,27261
sxk3hf,40.9707641601563,28.6907958984375,6.5,31.33,5,104
sxk3hg,40.9762573242188,28.6907958984375,17.37,15.8,8,330
sxk3hs,40.9817504882813,28.6798095703125,1309.89,57.32,240,24888
sxk3ht,40.9872436523438,28.6798095703125,1264.11,62.98,209,24018
sxk3hv,40.9872436523438,28.6907958984375,1054.68,65.25,207,20039
sxk3hw,40.9927368164063,28.6798095703125,2347.74,63.64,334,44607
sxk3hx,40.9982299804688,28.6798095703125,2867.84,62.69,390,54489
sxk3hy,40.9927368164063,28.6907958984375,935.95,63.81,187,17783
